Cities
北平	39.904989	116.405285
上海	31.231706	121.472644
廊坊	39.529244	116.713873
天津	39.125596	117.190182
德州	37.453968	116.307428
衡水	37.735097	115.665993
保定	38.867657	115.482331
广州	23.125178	113.280637
济南	36.675807	117.000923
徐州	34.261792	117.184811
台儿庄	34.856424	117.557964
日照	35.428588	119.461208
青岛	36.094406	120.369557
烟台	37.539297	121.391382
威海卫	37.509691	122.116394
旅顺	38.91459	121.618622
鞍山	41.110626	122.995632
锦州	41.119269	121.135742
秦皇岛	39.942531	119.586579
唐山	39.635113	118.175393
承德	40.976204	117.939152
朝阳	41.576758	120.451176
奉天	41.796767	123.429096
丹东	40.124296	124.383044
铁岭	42.290585	123.844279
通辽	43.617429	122.263119
四平	43.170344	124.370785
通化	41.721177	125.936501
盛京	43.886841	125.324500
吉林	43.843577	126.553020
延边	42.904823	129.513228
张家口	40.811901	114.884091
赤峰	42.275317	118.956806
二连浩特	43.65303	111.982970
大同	40.09031	113.295259
乌兰察布	41.034126	113.114543
朔州	39.331261	112.433387
忻口	38.41769	112.733538
太原	37.857014	112.549248
包头	40.658168	109.840405
平遥	37.1892	112.175530
临汾	36.08415	111.517973
汾阳	37.26605	111.788200
吕梁	37.524366	111.134335
呼和浩特	40.818311	111.670801
鄂尔多斯	39.817179	109.990290
巴彦淖尔	40.757402	107.416959
阿拉善	38.844814	105.706422
榆林	38.290162	109.741193
延安	36.596537	109.490810
洛川	35.76076	109.432860
吴忠	37.986165	106.199409
中卫	37.514951	105.189568
银川	38.46637	106.278179
西安	34.263161	108.948024
咸阳	34.333439	108.705117
宝鸡	34.369315	107.144870
兰州	36.058039	103.823557
武威	37.929996	102.634697
天水	34.578529	105.724998
汉中	33.077668	107.028621
渭南	34.499381	109.502882
潼关	34.54284	110.243620
运城	35.022778	111.003957
洛阳	34.663041	112.434468
邯郸	36.612273	114.490686
开封	34.797049	114.341447
南阳	32.999082	112.540918
亳州	33.869338	115.782939
淮北	33.971707	116.794664
宿迁	33.945154	118.293328
六安	31.752889	116.507676
滁州	32.303627	118.316264
盐城	33.377631	120.139998
南通	32.016212	120.864608
苏州	31.299379	120.619585
无锡	31.574729	120.301663
扬州	32.393159	119.421003
